segment,recency_mean,recency_median,frequency_mean,frequency_median,monetary_mean,monetary_median,churn_rate,customer_count,composite_score,segment_name,recommendation
3,22.29,13.0,28.2,20.0,13986.24,6875.07,0.05,499,2.9847012508097874,Champions,"Reward loyalty. Offer VIP programs, early access to new products, and exclusive discounts."
0,19.22,18.5,6.22,6.0,1667.83,1398.81,0.23,584,1.2123449384030391,Loyal Customers,Upsell and cross-sell. Recommend premium products and bundles.
2,142.5,124.0,7.81,7.0,2667.1,2079.14,0.32,970,0.7354095019245447,Potential Loyalists,Build the habit. Targeted follow-up campaigns and loyalty program invitations.
1,219.89,204.0,2.83,3.0,615.23,550.2,0.59,1410,0.0,At Risk,"Re-engagement campaigns. Send win-back offers, surveys, and personalized recommendations."
